Station ID, Zip Code
67,02139
47,02113
20,02109
66,02134
178,4204
56,1780
177,02139
6,02114
180,02138
33,2606
61,02116
89,2801
21,02199
31,2013
53,02115
107,1308
79,3823
105,02139
100,02144
45,02215
97,02138
70,02138
46,02115
152,02118
115,02140
16,02116
68,02139
23,02109
129,02129
75,02139
71,02143
91,02139
190,02114
42,02116
104,02138
220,02144
179,4958
12,02120
10,02215
119,02127
60,02114
139,02139
55,02215
35,02110
121,02127
90,02141
206,02108
8,02134
150,02210
76,02139
57,1181
86,02445
108,02138
41,02215
4,02116
149,1003
51,02118
69,02446
74,02138
218,02210
208,02135
11,02115
186,02210
22,02111
156,1420
3,02115
151,02110
232,02121
14,02115
94,02129
54,02111
73,02138
116,02139
48,02110
221,02138
95,02141
5,3721
173,02125
27,02120
227,02215
226,1202
96,02138
59,02111
58,02108
138,02118
17,02163
88,02139
175,02135
29,1002
128,02125
191,02445
217,02128
39,02118
254,02124
82,02445
131,02130
240,02139
37,02135
13,02118
36,02116
120,02116
99,3236
231,4311
195,02141
15,02135
225,1413
204,02119
233,02446
64,1217
117,02142
160,5507
212,2320
124,02130
210,1576
133,02130
40,02110
169,02129
161,1943
137,02145
185,02142
87,02138
237,02138
222,02118
81,02116
146,1727
98,2038
9,1305
203,02121
80,02139
25,3198
163,02210
78,02143
19,3105
92,02125
157,02210
176,02140
26,02118
125,1876
187,02445
50,3805
77,02143
52,2507
140,02140
224,02138
113,2742
84,02141
49,02116
189,02142
144,1209
239,02144
145,02140
188,2006
114,02144
142,02140
205,02122
197,02119
159,02130
264,02135
182,02114
193,02445
211,02128
32,02215
85,3109
216,02128
181,02138
30,02115
171,2925
135,02210
110,02138
141,02142
118,02140
184,4242
112,02144
246,02131
258,02124
260,02122
192,02110
167,1316
102,02144
236,02145
63,02127
143,02141
238,02140
257,02124
262,02135
244,1239
43,02110
201,02119
214,02128
130,2276
24,02210
241,02126
256,02124
93,02125
228,02142
234,02145
209,1482
183,02140
134,02116
255,02124
109,02114
170,02121
259,1121
65,02127
162,02119
111,02144
103,02446
136,2308
263,1843
194,02145
7,02210
213,02128
235,2225
122,3903
174,02135
72,02142
242,1117
207,02109
202,02121
215,02128
199,2716
200,02119
219,02128
126,02119
248,2442
196,1809
245,02126
1,02129
243,02135
249,02135
168,4619
155,5801
247,02215
252,02135
253,02124
106,3366
281,02129
283,3316
280,02129
274,02128
277,02129
284,02120
279,02130
282,02130
278,2691
250,02116
296,02127
295,02127
294,2005
307,02127
293,02119
